,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
175,buga,valle del cauca,1953,829,78363280,414,150513590,0,0,1243,228876870
176,caicedonia,valle del cauca,1953,337,90502600,193,57702750,0,0,530,148205350
177,cartago,valle del cauca,1953,939,214018734,248,128122707,0,0,1187,342141441
178,cerrito,valle del cauca,1953,165,26482784,81,29654675,0,0,246,56137459
179,el aguila,valle del cauca,1953,188,38308700,71,15532250,0,0,259,53840950
180,el cairo,valle del cauca,1953,370,68480000,215,31717616,0,0,585,100197616
181,palmira,valle del cauca,1953,830,102080871,319,118701489,0,0,1149,220782360
182,roldanillo,valle del cauca,1953,1053,109015148,587,109478560,0,0,1640,218493708
183,sevilla,valle del cauca,1953,344,85547400,362,108516300,0,0,706,194003700
184,tulua,valle del cauca,1953,1184,161997412,354,125201227,0,0,1538,287198639
185,trujillo,valle del cauca,1953,438,62320380,194,44323409,0,0,632,106643789
186,arauca,arauca,1953,127,19140765,81,24257777,0,0,208,43398542
187,florencia,caqueta,1953,1004,82947408,407,102934456,0,0,1411,185881864
188,san andres,san andres y providencia,1953,94,3863400,13,1216000,0,0,107,5079400
189,villavicencio,meta,1953,977,227041583,2463,260340066,0,0,3440,487381649
