codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
8638,Sabanalarga,Atlántico,8135,7000.28,2088,6438.54,88,12.43,10311,13451.25,1,710,0,1097,1189,8,875.035,804.8175,1.55375,1681.40625
8675,Santa Lucía,Atlántico,0,0,0,0,0,0,0,0,0,1710,0,1601,1811,0,0,0,0,0
8685,Santo Tomás,Atlántico,746,67.58,108,47.02,1,1.15,855,115.75,1,2775,3403,21798,34919,1,67.58,47.02,1.15,115.75
8758,Soledad,Atlántico,0,0,0,0,0,0,0,0,0,8801,8796,12573,13622,0,0,0,0,0
8770,Suan,Atlántico,0,0,0,0,0,0,0,0,0,2618,3395,4770,5316,0,0,0,0,0
8832,Tubará,Atlántico,0,0,0,0,0,0,0,0,0,3499,3127,4146,4862,0,0,0,0,0
8849,Usiacurí,Atlántico,0,0,0,0,0,0,0,0,0,6108,4535,5882,6645,0,0,0,0,0
13006,Achí,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13030,Altos del Rosario,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13042,Arenal,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13052,Arjona,Bolívar,0,0,0,0,0,0,0,0,0,3196,4716,5272,7416,0,0,0,0,0
13062,Arroyohondo,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13074,Barranco de Loba,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13160,Cantagallo,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13188,Cicuco,Bolívar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13212,Córdoba,Bolívar,0,0,0,0,0,0,0,0,0,398,0,682,2741,0,0,0,0,0
