,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
277,herveo,tolima,269,393436,151,214379,21,108899,441,716714,0,0
278,honda,tolima,127,659210,105,965075,25,195708,257,1819993,0,0
279,icononzo,tolima,665,1550843,231,749516,59,298243,955,2598602,0,0
280,libano,tolima,1133,2160795,764,2194570,164,914601,2061,5269966,0,0
281,mariquita,tolima,95,118196,36,214427,15,85190,146,417813,0,0
282,melgar,tolima,190,850550,167,1495888,17,172933,374,2519371,0,0
283,natagaima,tolima,370,902351,269,1343148,15,85747,654,2331246,0,0
284,ortega,tolima,582,1084494,348,1167798,6,28491,936,2280783,0,0
285,purificacion,tolima,738,1722674,885,3997130,123,1214745,1746,6934549,0,0
286,roncesvalles,tolima,131,318067,267,989130,6,58768,404,1365965,0,0
287,rovira,tolima,819,1395941,995,2756784,47,288445,1861,4441170,0,0
288,san antonio,tolima,337,705306,229,925650,12,179878,578,1810834,0,0
289,san luis,tolima,666,729357,208,907633,12,55444,886,1692434,0,0
290,santa isabel,tolima,153,342020,128,446541,13,97690,294,886251,0,0
291,venadillo,tolima,203,629962,158,784867,7,41461,368,145629,1310661,0
292,villahermosa,tolima,260,351985,55,131402,21,115979,336,599366,0,0
293,villarica,tolima,477,1224519,507,1381675,64,135699,1048,2741893,0,0
294,cali,valle del cauca,839,2553660,901,9916726,273,1675239,2013,14145625,0,0
295,alcala,valle del cauca,225,433927,68,259622,3,15450,296,708999,0,0
296,bollvar,valle del cauca,261,380648,122,343759,34,144199,417,868606,0,0
297,buga,valle del cauca,596,1221356,706,4373580,186,1008878,1488,6603814,0,0
298,buenaventura,valle del cauca,30,98382,20,112897,1,4305,51,215584,0,0
299,caicedonia,valle del cauca,272,1138356,109,404902,16,102599,397,1645857,0,0
300,cartago,valle del cauca,668,2490124,716,3850252,119,929659,1503,7270035,0,0
301,cerrito,valle del cauca,320,453242,156,972573,147,455322,623,1881137,0,0
302,dagua,valle del cauca,313,317566,241,689655,55,390874,609,1398095,0,0
303,el aguila,valle del cauca,131,302117,44,112110,8,60050,183,474277,0,0
304,el cairo,valle del cauca,402,874642,310,887734,31,268053,743,2030429,0,0
305,palmira,valle del cauca,665,1792830,445,3761160,316,917235,1426,6471225,0,0
306,restrepo,valle del cauca,324,414481,139,450943,31,137541,494,1002965,0,0
307,roldanillo,valle del cauca,395,587600,188,1007715,67,170337,650,1765652,0,0
308,sevilla,valle del cauca,505,1443836,357,1556516,77,554507,939,3554859,0,0
309,tulua,valle del cauca,535,1069857,468,3329090,240,1224327,1243,5623274,0,0
310,trujillo,valle del cauca,173,554118,145,520885,93,437541,411,1512543,1,0
311,versalles,valle del cauca,572,865863,201,502836,50,386584,823,1755284,-1,0
312,zarzal,valle del cauca,141,340570,171,1501991,41,180316,353,2022877,0,0
313,arauca,arauca,76,181944,693,3801493,45,194420,1810,5505143,-1327286,-996
314,tame,arauca,200,761994,736,814073,48,185988,510,1541151,220904,474
315,riohacha,guajira,311,621693,112,631858,75,358741,498,1612292,0,0
316,barrancas,guajira,264,498858,126,417235,20,80648,410,996741,0,0
317,fonseca,guajira,259,776530,142,721406,18,6875,419,1566686,-61875,0
318,san juan del cesar,guajira,267,1012727,286,1867628,4,4388,557,2924235,-39492,0
319,villanueva,guajira,454,1384047,262,1453071,38,225659,754,3062777,0,0
320,san andres,san andres y providencia,89,164761,12,41385,0,0,101,206146,0,0
321,leticia,amazonas,71,133358,52,182176,0,0,123,315534,0,0
322,mocoa,putumayo,297,233039,544,596299,7,21448,848,850786,0,0
323,sibundoy,putumayo,67,177160,216,510410,55,198319,338,885889,0,0
324,mitu,vaupes,180,928683,1,3749,0,0,181,932432,0,0
325,puerto carreño,vichada,26,66360,11,36658,0,0,37,103018,0,0
