Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Roldanillo,Valle del Cauca,781,883.071.98,402,1.194.191.89,1.183,2.077.263.87
Sevilla,Valle del Cauca,503,1.120.679.00,436,1.385.225.93,939,"2,505.904.93"
Tuluá,Valle del Cauca,865,1.398.673.00,558,2.598.382.74,1.423,3.997.055.74
Trujillo,Valle del Cauca,388,726.572.32,499,"1.371,446.88",887,2.098.019.20
Versalles,Valle del Cauca,728,1.093.373.12,334,862.025.81,1.062,1.955.398.93
RIOHACHA.,Guajira,318,483.868.38,147,413.273.98,465,897.142.36
San Juan del César,Guajira,559,1.038.128.72,585,1.693.801.91,1.144,2.731.930.63
Villanueva,Guajira,555,1.252.988.82,271,1.241.310.19,826,"2,494.299.01"
ARAUCA,Arauca,159,430.520.00,1.133,2.030.648.52,1.292,2.461.168.52
Tame,Arauca,84,155.060.00,556,899.950.25,640,1.055.010.25
VILLAVICENCIO,Meta,864,3.659.933.81,972,3.607.858.60,1.836,7.267.792.41
Guamal,Meta,357,745.952.52,1.285,1.191.224.88,1.642,"1.937.177,40"
Puerto Lopez,Meta,218,866.710.00,245,524.685.00,463,"1,391.395.00"
Restrepo,Meta,446,"424.397,50",1.357,987.030.65,1.803,"1,411.428.15"
San Martin,Meta,374,831.892.73,1.425,1.116.003.19,1.799,1.947.895.92
FLORENCIA,Caqueta,"1,357",1.518.504.07,491,1.451.180.02,1.848,2.969.684.09
LETICIA,Amazonas,11,16.550.00,18,81.924.00,29,98.474.00
MITU,Vaupes,42,121.000.00,0,0,42,121.000.00
PUERTO CARREÑO,Vichada,6,23.700.00,5,18.100.00,11,41.800.00
SAN ANDRES,San Andres y Providencia,103,"59,791.76",23,28.619.03,126,88.410.79
