,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
244,turbo,antioquia,1959,284,357630,183,887296,0,0,467,1244926
245,turbo,antioquia,1960,394,500508,223,897820,0,0,617,1398328
246,urrao,antioquia,1953,155,21655738,33,7078737,0,0,188,28734475
247,urrao,antioquia,1954,651,59767794,146,50810991,0,0,797,110578785
248,urrao,antioquia,1955,486,45287643,190,60783986,0,0,676,106071629
249,urrao,antioquia,1956,393,39873242,224,65389405,0,0,617,105262647
250,urrao,antioquia,1957,316,431570,202,680632,0,0,518,1112202
251,urrao,antioquia,1958,340,421870,225,780799,81,281062,646,1483731
252,urrao,antioquia,1959,376,471623,300,759312,94,318065,770,1549000
253,urrao,antioquia,1960,354,544260,294,777459,88,266710,736,1588429
254,yarumal,antioquia,1952,753,60304602,367,98792485,0,0,1120,159097087
255,yarumal,antioquia,1953,772,63663423,444,117861139,0,0,1216,181524562
256,yarumal,antioquia,1954,825,79575491,491,117907573,0,0,1316,197483064
257,yarumal,antioquia,1955,888,80018765,559,152968360,0,0,1447,232987125
258,yarumal,antioquia,1956,872,80348752,540,154730249,0,0,1412,235079001
259,yarumal,antioquia,1957,781,772543,492,1815188,0,0,1273,2587731
260,yarumal,antioquia,1958,780,870174,446,1758530,132,714988,1358,3343692
261,yarumal,antioquia,1959,808,860523,433,1759761,129,718644,1370,3338928
262,yarumal,antioquia,1960,622,716385,386,1699821,121,622226,1129,3038432
263,yolombo,antioquia,1952,728,54463520,140,49076277,0,0,868,103539797
264,yolombo,antioquia,1953,722,47648223,189,65410289,0,0,911,113058512
265,yolombo,antioquia,1954,897,85100427,229,93243089,0,0,1126,178343516
266,yolombo,antioquia,1955,795,89268176,210,102644768,0,0,1005,191912944
267,yolombo,antioquia,1956,435,54571469,118,71220811,0,0,553,125792280
268,yolombo,antioquia,1957,331,543373,104,816239,0,0,435,1359612
269,yolombo,antioquia,1958,241,312205,81,655938,5,13264,327,981407
270,yolombo,antioquia,1959,281,325195,112,706115,6,16547,399,1047857
271,yolombo,antioquia,1960,276,313545,109,713102,3,33080,388,1059727
272,arauca,arauca,1952,144,20562546,91,26686870,0,0,235,47249416
273,arauca,arauca,1953,127,19140765,81,24257777,0,0,208,43398542
274,arauca,arauca,1954,153,39291045,1092,163624500,0,0,1245,202915545
275,arauca,arauca,1955,159,43052000,1133,203064852,0,0,1292,246116852
276,arauca,arauca,1956,101,17600760,935,167591585,0,0,1036,185192345
277,arauca,arauca,1957,91,159856,790,1358428,0,0,881,1518284
278,arauca,arauca,1958,70,144364,721,1006022,0,0,791,1150386
279,arauca,arauca,1959,64,159828,698,1036523,0,0,762,1196351
280,arauca,arauca,1960,76,181944,693,1164463,0,0,769,1346407
281,tame,arauca,1954,36,10515000,480,56380000,0,0,516,66895000
282,tame,arauca,1955,84,15506000,556,89995025,0,0,640,105501025
283,tame,arauca,1956,88,16635063,882,152012868,0,0,970,168647931
284,tame,arauca,1957,83,127058,813,1463888,0,0,896,1590946
285,tame,arauca,1958,101,195527,781,1461890,0,0,882,1657417
286,tame,arauca,1959,169,500345,765,1653471,4,14300,938,2168116
287,tame,arauca,1960,200,761994,736,1760577,4,13900,940,2536471
288,barranquilla,atlantico,1952,1109,272014795,281,171672950,0,0,1390,443687745
289,barranquilla,atlantico,1953,1270,230712882,328,168048160,0,0,1598,398761042
290,barranquilla,atlantico,1954,726,183885381,296,176566561,0,0,1022,360451942
291,barranquilla,atlantico,1955,846,181938061,438,329842237,0,0,1284,511780298
292,barranquilla,atlantico,1956,928,200974975,543,419043966,0,0,1471,620018941
293,barranquilla,atlantico,1957,1161,2239378,553,3840378,0,0,1714,6079756
294,barranquilla,atlantico,1958,1368,3315764,510,3821050,120,785644,1998,7922458
295,barranquilla,atlantico,1959,1424,5089457,533,5315625,122,728465,2079,11133547
296,barranquilla,atlantico,1960,1623,5678377,592,5654429,113,621181,2328,11953987
297,sabanalarga,atlantico,1954,655,41155370,69,19525333,0,0,724,60680703
