,codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,alf_A2018,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
88,5679.0,Santa Bárbara,Antioquia,1567,1921.23,512,1742.72,186,25.31,2265,3689.27,1,1071,0.0,533,0,99.3,6,320.205,290.4533333,4.218333333,614.8783333
89,5690.0,Santo Domingo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,11111,12744.0,19181,0,99.1,0,0.0,0.0,0.0,0.0
90,5697.0,El Santuario,Antioquia,3068,123.15,1903,85.64,218,25.53,5189,234.31,1,1597,1638.0,2458,3013,99.6,5,24.63,17.128,5.106,46.862
91,5736.0,Segovia,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6211,6604.0,7912,10417,99.4,0,0.0,0.0,0.0,0.0
92,5790.0,Tarazá,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1737,0.0,1936,0,94.7,0,0.0,0.0,0.0,0.0
93,5792.0,Tarso,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,96.6,0,0.0,0.0,0.0,0.0
94,5809.0,Titiribí,Antioquia,343,64.95,133,58.56,32,6.72,508,130.23,1,3171,3576.0,4557,4898,99.8,2,32.475,29.28,3.36,65.115
95,5819.0,Toledo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1566,3070.0,6293,8549,99.4,0,0.0,0.0,0.0,0.0
96,5842.0,Uramita,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2531,0.0,4963,0,95.5,0,0.0,0.0,0.0,0.0
97,5847.0,Urrao,Antioquia,3464,9367.63,2004,10123.29,342,35.61,5810,19526.55,1,1168,0.0,2387,0,96.2,9,1040.847778,1124.81,3.956666667,2169.616667
98,5854.0,Valdivia,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3633,4603.0,5657,7182,94.7,0,0.0,0.0,0.0,0.0
99,5856.0,Valparaíso,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3791,3197.0,5220,7136,99.4,0,0.0,0.0,0.0,0.0
100,5858.0,Vegachí,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,98.9,0,0.0,0.0,0.0,0.0
101,5861.0,Venecia,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,8255,9798.0,10989,12815,99.5,0,0.0,0.0,0.0,0.0
102,5873.0,Vigía del Fuerte,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2278,0.0,3056,0,95.5,0,0.0,0.0,0.0,0.0
103,5885.0,Yalí,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2897,0.0,5046,5923,96.2,0,0.0,0.0,0.0,0.0
104,5893.0,Yondó,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2611,0.0,3700,0,99.3,0,0.0,0.0,0.0,0.0
105,5895.0,Zaragoza,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1494,0.0,2626,3106,96.4,0,0.0,0.0,0.0,0.0
106,8078.0,Baranoa,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,8529,11692.0,12568,14452,99.3,0,0.0,0.0,0.0,0.0
107,8137.0,Campo de La Cruz,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,28962,0.0,148134,222861,97.4,0,0.0,0.0,0.0,0.0
108,8141.0,Candelaria,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,1347,0.0,1684,1790,92.1,0,0.0,0.0,0.0,0.0
109,8296.0,Galapa,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,12201,10973.0,13557,14100,99.3,0,0.0,0.0,0.0,0.0
110,8372.0,Juan de Acosta,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,7609,5927.0,7471,8474,99.7,0,0.0,0.0,0.0,0.0
111,8421.0,Luruaco,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,1379,0.0,2763,3511,97.8,0,0.0,0.0,0.0,0.0
112,8433.0,Malambo,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,7614,8507.0,11297,13379,99.5,0,0.0,0.0,0.0,0.0
113,8436.0,Manatí,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,4509,3951.0,5805,7709,98.4,0,0.0,0.0,0.0,0.0
114,8520.0,Palmar de Varela,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,18999,21133.0,28877,29761,99.6,0,0.0,0.0,0.0,0.0
115,8549.0,Piojó,Atlántico,0,0.0,0,0.0,0,0.0,0,0.0,0,5946,5567.0,11649,7475,97.5,0,0.0,0.0,0.0,0.0
