cod_mpio,Cod Dep,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
25183,250,19566,93494.97,14837,76144.04,1686,19483.18,255,59.66,16778,95686.90999999997
25245,175,13707,74646.07,3456,8202.089999999998,701,7826.57,381,57.31,4538,16085.949999999999
25269,250,19566,164061.91999999998,8585,43875.05,2001,23771.049999999996,761,135.63,11347,67781.74
25279,250,19566,87408.54,4654,25432.09,2340,21595.379999999997,420,105.59,7414,47132.01
25290,250,19566,217655.72,7638,22110.61,4248,17840.96,1756,126.17,13642,40022.98
25293,200,15661,58639.95,5028,19820.25,1309,6485.12,98,30.34,6435,26335.700000000004
25297,250,19566,121907.76999999999,14495,49785.37,3828,15426.000000000002,366,50.16,17689,65164.740000000005
25307,250,19566,410978.80000000005,4165,14964.019999999995,2132,15657.230000000001,231,48.6,6528,30669.840000000004
25320,175,13707,90542.7,2224,4595.05,808,5191.71,310,70.28999999999999,3342,9857.03
25322,250,19566,48767.53,2825,23253.549999999992,656,10338.150000000001,126,48.46,3607,33640.16
25326,225,17604,36402.920000000006,2914,49343.29000000001,477,14271.069999999996,67,33.13,3458,63647.49
25328,25,1962,3249.73,170,48.57,28,8.23,48,24.66,246,81.46
25377,250,19566,65719.51999999999,3335,23307.809999999998,1401,28977.04,486,161.85,5222,52446.72000000001
25386,250,19566,121581.93000000002,8563,40511.73000000002,1200,23956.25,371,77.05,10136,64545.0
25394,250,19566,141488.51,5946,15776.229999999996,1735,12975.479999999998,331,52.370000000000005,8012,28804.06
25398,250,19566,59090.98999999999,2904,14267.759999999998,470,9799.770000000002,65,36.589999999999996,3439,24104.13
25402,75,5881,22366.92,1095,162.72,245,62.209999999999994,139,58.07,1479,283.0
25426,25,1962,8163.85,798,85.78,96,18.21,8,1.67,902,105.66
25438,200,15661,54286.56,2807,23615.260000000002,4773,19420.030000000002,7,1.6099999999999999,7587,43036.950000000004
25491,175,13707,35874.1,1346,8235.55,360,7227.750000000001,142,112.74,1848,15576.050000000001
25513,250,19566,191812.63999999998,8633,24043.590000000004,3174,16772.59,568,101.34,12375,40917.54
25535,150,11752,49691.75,3074,4297.089999999999,1455,2946.6600000000003,192,65.63,4721,7309.37
25596,25,1962,9323.1,370,33.02,67,5.72,42,9.39,479,48.13
25658,175,13707,33217.72,2876,24353.539999999997,1000,15428.659999999998,338,180.19,4214,39962.38
25662,250,19566,98714.38,7720,57940.72,1066,17922.709999999995,304,101.15,9090,75964.59
25718,250,19566,52932.05,3348,27943.94,1250,23652.410000000003,361,174.39999999999998,4959,51770.68
25754,250,19566,131798.3,3984,26695.249999999996,876,8818.939999999999,426,50.589999999999996,5286,35564.77
25758,250,19566,26431.44,1071,36875.229999999996,541,26018.600000000002,162,191.05999999999997,1774,63084.89000000001
25769,175,13707,26452.51,2267,26260.74,706,16585.400000000005,67,36.269999999999996,3040,42882.42
25815,150,11752,55752.29,1658,2704.1400000000003,462,3149.7799999999997,68,32.89,2188,5886.8099999999995
25843,250,19566,94215.1,9906,60894.31,2091,41949.659999999996,491,86.39,12488,102930.35999999999
25845,250,19566,47646.63,6752,80336.45999999999,898,25545.730000000003,223,113.41,7873,105995.59999999998
25851,150,11752,20660.28,751,1408.6699999999998,434,3343.8399999999997,34,78.81,1219,4831.32
25862,250,19566,84794.11999999998,5148,34208.39,849,7161.03,160,71.6,5975,41441.030000000006
25875,250,19566,94446.12,3160,19392.069999999996,1010,17669.809999999998,388,120.92,4558,37182.79000000001
25878,175,13707,79991.64000000001,3299,9526.54,512,4235.48,567,97.08,4378,13859.100000000002
25899,250,19566,181979.08,3832,14805.639999999998,1122,12526.089999999998,300,27.91,5254,27359.620000000003
27001,243,17614,159532.37000000002,3251,1793.23,228,980.05,0,0.0,3479,2773.3
27245,162,11752,26941.79,826,3307.79,467,2218.38,117,50.03999999999999,1410,5576.19
41001,410,19566,501684.39,11194,19265.240000000005,9492,19062.239999999998,1052,57.19,21738,38384.68
41006,410,19566,25943.65,4933,98540.07999999999,1417,37535.38999999999,119,73.16,6469,136148.65
41020,123,5881,16193.98,1009,164.41,665,168.77,79,33.879999999999995,1753,367.07
41078,410,19566,56339.979999999996,1984,23209.79,2949,19968.76,106,55.650000000000006,5039,43234.200000000004
41132,82,3922,37326.17,570,64.13,299,60.08,89,8.78,958,132.99
41298,410,19566,160994.24,6499,23572.52,5580,39987.079999999994,430,86.27000000000001,12509,63645.869999999995
41306,246,11752,66231.74,2445,2633.1699999999996,1415,4289.61,181,43.629999999999995,4041,6966.39
41319,123,5881,16622.190000000002,985,98.30000000000001,718,177.52,47,21.07,1750,296.89
41359,41,1962,3564.91,193,45.25,86,22.84,1,0.53,280,68.62
41396,410,19566,117209.04,4736,18776.839999999997,3099,23380.940000000006,152,28.54,7987,42186.34000000001
41524,410,19566,68848.5,3320,31610.73,2401,21552.980000000003,165,54.309999999999995,5886,53218.009999999995
41551,410,19566,217421.12,7301,19602.670000000002,2540,9825.270000000002,98,10.96,9939,29438.910000000003
41668,410,19566,41307.8,2790,34813.6,1098,25482.099999999995,38,24.11,3926,60319.829999999994
41791,41,1962,8929.18,472,51.74,162,30.99,6,1.97,640,84.69
41797,369,17614,30210.04,1991,13784.94,1556,25437.4,39,38.7,3586,39261.049999999996
41799,82,3922,14729.220000000001,564,103.41999999999999,662,114.28999999999999,59,24.2,1285,241.91000000000003
41801,41,1962,4035.79,213,61.56,88,37.08,22,9.64,323,108.28
41807,287,13707,41412.799999999996,3721,11903.45,1193,8549.15,40,17.63,4954,20470.23
41885,410,19566,29753.770000000004,3388,116311.48999999999,1615,73108.06,81,77.17,5084,189496.71
44001,446,19566,66948.92,3064,25408.930000000004,1195,19968.050000000003,288,116.97,4547,45493.96999999999
44078,132,5881,9597.88,826,302.5,440,300.15999999999997,61,40.05,1327,642.71
44279,132,5881,18393.47,857,231.98,454,220.7,52,18.75,1363,471.43000000000006
44650,446,19566,83894.79000000001,4672,54081.950000000004,4694,70660.81999999999,58,27.34,9424,124768.9
44874,446,19566,55646.67,4993,89581.68,2504,72300.86000000002,170,112.29,7667,161994.84999999998
47001,470,19566,526657.87,4986,10366.23,2899,12024.800000000001,205,9.549999999999999,8090,22400.589999999997
47189,329,13707,331532.83999999997,2172,1532.64,1037,2579.6799999999994,37,2.52,3246,4114.849999999999
47245,470,19566,207911.16999999998,1926,9187.900000000001,4678,32523.960000000003,198,21.98,6802,41733.84
47288,470,19566,41475.99,3898,120826.74999999999,4772,295321.31,200,136.26999999999998,8870,416284.35000000003
47318,141,5881,33893.47,1227,117.07,1299,214.40000000000003,59,9.969999999999999,2585,341.44
47551,141,5881,46052.869999999995,1371,119.84,819,228.5,39,5.0,2229,353.34000000000003
47555,470,19566,134993.34,3118,19173.130000000005,6050,78830.42,122,25.49,9290,98029.02
47707,47,1962,8625.07,493,65.05,382,142.16,1,0.55,876,207.76
50001,500,19566,174977.52000000002,10346,92391.82999999999,15141,100655.20999999998,395,87.0,25882,193134.03999999998
50006,150,5881,2738.0,908,1223.72,1480,2141.46,153,314.88,2541,3680.0600000000004
50226,50,1962,3256.74,382,193.72,326,197.83,7,4.39,715,395.94
50287,50,1962,1110.89,127,96.6,237,457.46,73,92.7,437,646.76
50313,200,7843,11490.730000000001,984,323.22,2043,625.78,58,47.67,3085,996.66
50318,350,13707,7376.68,2836,104654.58999999998,7675,181877.63999999998,248,590.5799999999999,10759,287122.80000000005
50573,350,13707,11437.54,2397,67797.51,1628,53687.49,1,0.58,4026,121485.58999999998
50606,350,13707,34417.1,3624,19001.26,7874,46926.16000000001,86,41.35,11584,65968.76999999999
50689,350,13707,18159.13,1699,47932.75,7844,84699.56999999999,65,59.849999999999994,9608,132692.15999999997
52001,520,19566,695596.7399999999,16982,9998.019999999999,12329,19462.180000000004,1003,35.16,30314,29495.37
52210,364,13707,25152.48,4395,24907.850000000002,1085,9601.440000000002,96,86.61000000000001,5576,34595.90000000001
52260,104,3922,22288.64,773,41.45,774,68.73,64,9.67,1611,119.85
52320,52,1962,8711.97,832,77.84,197,14.53,9,2.73,1038,95.1
52356,520,19566,258993.71000000002,7832,17742.329999999998,2738,12067.14,207,28.26,10777,29837.73
52378,520,19566,101113.35,10510,69823.6,1433,17978.780000000002,54,11.73,11997,87814.11
52399,520,19566,106494.36,9631,44118.26,3584,29095.7,278,31.67,13493,73245.65999999999
52678,520,19566,121500.98,7225,14347.12,2777,9623.689999999999,61,10.23,10063,23974.309999999998
52683,520,19566,135074.72,6441,17620.03,1914,7556.9299999999985,145,17.5,8500,25194.46
52687,52,1962,8886.17,301,19.52,212,25.77,23,4.56,536,49.86
52835,260,9796,188675.25,4240,28.8,945,28.33,11,0.45,5196,57.59
52838,520,19566,143185.68,7244,16528.31,2823,16059.61,246,53.510000000000005,10313,32641.46
54001,540,19566,851479.1599999999,7255,14119.03,4395,14327.42,296,17.36,11946,28463.839999999997
54051,432,15661,90043.14,3244,8089.300000000001,596,1468.4399999999998,204,27.13,4044,9584.890000000001
54128,540,19566,78122.03000000001,5999,21473.84,2107,17501.89,77,21.360000000000003,8183,38997.130000000005
54172,540,19566,84253.83,2750,17338.749999999996,1413,16829.24,164,64.22999999999999,4327,34232.23
54174,54,1962,7464.34,462,66.94,81,21.46,10,1.44,553,89.85
54206,432,15661,113074.57999999999,3833,16776.930000000004,1742,30653.81,246,60.34,5821,47491.079999999994
54239,324,11752,48392.61,2494,14036.210000000001,434,1619.5599999999997,140,47.06999999999999,3068,15702.849999999999
54313,432,15661,93559.45,3499,9582.660000000002,1206,5937.710000000001,211,70.34,4916,15590.7
54498,540,19566,339315.24,7711,16441.939999999995,3402,29182.95,129,6.37,11242,45631.24999999999
54518,540,19566,229703.66999999998,9556,20434.73,4609,25161.46,231,21.07,14396,45617.299999999996
54660,540,19566,110174.65,4260,23779.719999999998,1452,11242.34,121,44.970000000000006,5833,35067.04
54720,540,19566,125845.16,5127,23065.859999999997,1234,6050.97,46,7.82,6407,29124.66
54820,594,21528,126281.28999999998,7363,22657.11,2392,11083.269999999999,103,18.3,9858,33758.72000000001
63001,170,19566,782964.95,9200,13617.640000000001,4397,12394.33,677,20.11,14274,26032.08
63130,170,19566,557506.8700000001,4740,10271.420000000002,2069,5638.0199999999995,252,11.850000000000001,7061,15919.69
63272,170,19566,147762.82,3570,12083.850000000002,1198,5510.660000000001,245,20.82,5013,17615.32
63302,51,5881,8586.34,456,278.19,207,206.45999999999998,24,54.339999999999996,687,538.99
63470,17,1962,15538.17,212,20.51,103,16.7,50,13.74,365,50.94
63548,170,19566,20225.16,1138,94828.9,576,62227.939999999995,65,68.44,1779,157125.25000000003
63594,102,11752,55838.09,1697,4071.44,599,3015.4200000000005,178,51.03,2474,7137.889999999999
