,index,Código Departamento,Departamento,codmpio,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
64,2280,5.0,Antioquia,5501.0,Olaya,Medición de desempeño municipal,Resumen MDM,MDM,"51,47",,2018.0,12.0,DNP - DDDR,Puntos,Olaya,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3757,4333.0,5485,6473,0,0.0,0.0,0.0,0.0
65,2281,5.0,Antioquia,5541.0,Peñol,Medición de desempeño municipal,Resumen MDM,MDM,"54,44",,2018.0,12.0,DNP - DDDR,Puntos,Peñol,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1433,0.0,9734,14968,0,0.0,0.0,0.0,0.0
66,2282,5.0,Antioquia,5543.0,Peque,Medición de desempeño municipal,Resumen MDM,MDM,"48,82",,2018.0,12.0,DNP - DDDR,Puntos,Peque,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,8759,8202.0,10576,15438,0,0.0,0.0,0.0,0.0
67,2283,5.0,Antioquia,5576.0,Pueblorrico,Medición de desempeño municipal,Resumen MDM,MDM,"57,80",,2018.0,12.0,DNP - DDDR,Puntos,Pueblorrico,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,116541,241779.0,523517,0,0,0.0,0.0,0.0,0.0
68,2284,5.0,Antioquia,5579.0,Puerto Berrío,Medición de desempeño municipal,Resumen MDM,MDM,"56,67",,2018.0,12.0,DNP - DDDR,Puntos,Puerto Berrío,Antioquia,257,31.58,496,111.11,1,0.02,754,142.71,1,0,0.0,0,0,4,7.895,27.7775,0.005,35.6775
69,2285,5.0,Antioquia,5585.0,Puerto Nare,Medición de desempeño municipal,Resumen MDM,MDM,"44,37",,2018.0,12.0,DNP - DDDR,Puntos,Puerto Nare,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
70,2286,5.0,Antioquia,5591.0,Puerto Triunfo,Medición de desempeño municipal,Resumen MDM,MDM,"46,49",,2018.0,12.0,DNP - DDDR,Puntos,Puerto Triunfo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3112,0.0,5918,0,0,0.0,0.0,0.0,0.0
71,2287,5.0,Antioquia,5604.0,Remedios,Medición de desempeño municipal,Resumen MDM,MDM,"48,52",,2018.0,12.0,DNP - DDDR,Puntos,Remedios,Antioquia,931,3527.72,1167,13467.44,28,17.06,2126,17012.23,1,1945,0.0,1988,0,7,503.96,1923.92,2.437142857,2430.318571
72,2288,5.0,Antioquia,5607.0,Retiro,Medición de desempeño municipal,Resumen MDM,MDM,"68,72",,2018.0,12.0,DNP - DDDR,Puntos,Retiro,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4592,4611.0,5388,5545,0,0.0,0.0,0.0,0.0
73,2290,5.0,Antioquia,5628.0,Sabanalarga,Medición de desempeño municipal,Resumen MDM,MDM,"55,05",,2018.0,12.0,DNP - DDDR,Puntos,Sabanalarga,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4657,5457.0,6963,0,0,0.0,0.0,0.0,0.0
