,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
176,honda,tolima,1954,471,102727891,288,155810002,0,0,759,258537893
177,icononzo,tolima,1954,970,105996400,413,55165327,0,0,1383,161161727
178,libano,tolima,1954,1058,150498900,540,142645173,0,0,1598,293144073
179,melgar,tolima,1954,573,117713260,212,65877591,0,0,785,183590851
180,ortega,tolima,1954,533,60916414,127,39718494,0,0,660,100634908
181,purificacion,tolima,1954,1110,160134861,370,128250954,0,0,1480,288385815
182,roncesvalles,tolima,1954,91,18986053,94,40036712,0,0,185,59022765
183,rovira,tolima,1954,654,112317495,311,79044548,0,0,965,191362043
184,san antonio,tolima,1954,216,36031500,51,17417739,0,0,267,53449239
185,san luis,tolima,1954,450,37300478,98,28783944,0,0,548,66084422
186,san miguel de perdomo,tolima,1954,315,39984953,173,67897846,0,0,488,107882799
187,santa isabel,tolima,1954,225,31519500,120,31883550,0,0,345,63403050
188,villahermosa,tolima,1954,426,40210800,163,18901753,0,0,589,59112553
189,cali,valle del cauca,1954,1298,171299143,775,364672462,0,0,2073,535971605
190,buga,valle del cauca,1954,557,55949550,372,123937899,0,0,929,179887449
191,caicedonia,valle del cauca,1954,276,94922578,159,50283400,0,0,435,145205978
192,cartago,valle del cauca,1954,1003,247324612,322,223285041,0,0,1325,470609653
193,cerrito,valle del cauca,1954,408,46274900,231,82097698,0,0,639,128372598
194,el aguila,valle del cauca,1954,158,40936413,89,17933900,0,0,247,58870313
195,el cairo,valle del cauca,1954,487,79191675,313,37015843,0,0,800,116207518
196,palmira,valle del cauca,1954,746,87661304,392,132274337,0,0,1138,219935641
197,roldanillo,valle del cauca,1954,1096,121239589,609,111875177,0,0,1705,233114766
198,sevilla,valle del cauca,1954,462,122415700,358,115116250,0,0,820,237531950
199,tulua,valle del cauca,1954,866,140071700,456,195579547,0,0,1322,335651247
200,trujillo,valle del cauca,1954,389,59686121,284,54268483,0,0,673,113954604
201,riohacha,guajira,1954,522,79295994,119,26740440,0,0,641,106036434
202,san juan del cesar,guajira,1954,794,157397846,487,125068989,0,0,1281,282466835
203,villanueva,guajira,1954,771,155837907,244,94710424,0,0,1015,250548331
204,arauca,arauca,1954,153,39291045,1092,163624500,0,0,1245,202915545
205,tame,arauca,1954,36,10515000,480,56380000,0,0,516,66895000
206,florencia,caqueta,1954,1267,128047449,480,137790281,0,0,1747,265837730
207,leticia,amazonas,1954,17,1494000,4,3025000,0,0,21,4519000
208,san andres,san andres y providencia,1954,75,5256200,17,2071243,0,0,92,7327443
209,villavicencio,meta,1954,1934,494052907,5445,585281532,0,0,7379,1079334439
