,Cod Dep,Cod Mun,id,Unnamed: 0,Unnamed: 0.1,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
104,41,41078,huilabaraya,107,107,baraya,huila,1952,158,21860342.0,50,10727988.0,0,0.0,208,32588330.0
105,41,41298,huilagarzon,102,102,garzon,huila,1952,915,73215392.0,301,68130318.0,0,0.0,1216,141345710.0
106,41,41396,huilala plata,103,103,la plata,huila,1952,389,27548007.0,235,37735302.0,0,0.0,624,65283309.0
107,41,41001,huilaneiva,101,101,neiva,huila,1952,914,153745839.0,251,103354339.0,0,0.0,1165,257100178.0
108,41,41524,huilapalermo,109,109,palermo,huila,1952,217,27262500.0,38,9939500.0,0,0.0,255,37202000.0
109,41,41551,huilapitalito,104,104,pitalito,huila,1952,915,71291840.0,116,24354000.0,0,0.0,1031,95645840.0
110,41,41668,huilasan agustin,106,106,san agustin,huila,1952,268,28396500.0,50,18357500.0,0,0.0,318,46754000.0
111,41,41885,huilayaguara,105,105,yaguara,huila,1952,288,58473200.0,72,19714555.0,0,0.0,360,78187755.0
112,47,20178,magdalenachiriguana,111,111,chiriguana,magdalena,1952,215,13372197.0,253,44564763.0,0,0.0,468,57936960.0
113,47,47245,magdalenael banco,112,112,el banco,magdalena,1952,188,36186508.0,504,125992195.0,0,0.0,692,162178703.0
114,47,47288,magdalenafundacion,113,113,fundacion,magdalena,1952,202,65989647.0,333,179835952.0,0,0.0,535,245825599.0
115,47,47555,magdalenaplato,114,114,plato,magdalena,1952,315,49516929.0,641,194434057.0,0,0.0,956,243950986.0
116,47,44001,magdalenariohacha,118,118,riohacha,magdalena,1952,46,2979894.0,67,15312000.0,0,0.0,113,18291894.0
117,47,44650,magdalenasan juan del cesar,115,115,san juan del cesar,magdalena,1952,237,38423475.0,324,82365475.0,0,0.0,561,120778950.0
118,47,47001,magdalenasanta marta,110,110,santa marta,magdalena,1952,390,78368519.0,155,67573153.0,0,0.0,545,145941672.0
119,47,20001,magdalenavalledupar,116,116,valledupar,magdalena,1952,464,92649656.0,530,190575257.0,0,0.0,994,283224913.0
120,47,44874,magdalenavillanueva,117,117,villanueva,magdalena,1952,281,37291236.0,189,46378157.0,0,0.0,470,83669393.0
121,50,50001,metavillavicencio,177,177,villavicencio,meta,1952,860,137571167.0,149,54251109.0,0,0.0,1009,191822276.0
122,52,52356,nariñoipiales,120,120,ipiales,nariño,1952,756,78945950.0,250,46363527.0,0,0.0,1006,125309477.0
123,52,52378,nariñola cruz,121,121,la cruz,nariño,1952,818,79434500.0,146,29263000.0,0,0.0,964,108697500.0
124,52,52399,nariñola union,122,122,la union,nariño,1952,849,70561553.0,297,49113885.0,0,0.0,1146,119675438.0
125,52,52001,nariñopasto,119,119,pasto,nariño,1952,1466,114879328.0,1121,249482796.0,0,0.0,2587,364362124.0
126,52,52678,nariñosamaniego,125,125,samaniego,nariño,1952,268,15738227.0,90,10338964.0,0,0.0,358,26077191.0
127,52,52683,nariñosandona,124,124,sandona,nariño,1952,215,15087000.0,43,7703400.0,0,0.0,258,22790400.0
128,52,52838,nariñotuquerres,123,123,tuquerres,nariño,1952,665,46314080.0,394,55848582.0,0,0.0,1059,102162662.0
129,54,54128,norte de santandercachira,127,127,cachira,norte de santander,1952,298,20442000.0,85,16638000.0,0,0.0,383,37080000.0
130,54,54172,norte de santanderchinacota,128,128,chinacota,norte de santander,1952,292,33806862.0,82,19677763.0,0,0.0,374,53484625.0
131,54,54001,norte de santandercucuta,126,126,cucuta,norte de santander,1952,886,203642900.0,276,167243460.0,0,0.0,1162,370886360.0
132,54,54498,norte de santanderocaña,129,129,ocaña,norte de santander,1952,1156,134976809.0,397,179343789.0,0,0.0,1553,314320598.0
133,54,54518,norte de santanderpamplona,130,130,pamplona,norte de santander,1952,821,70983930.0,328,68818808.0,0,0.0,1149,139802738.0
134,54,54660,norte de santandersalazar,131,131,salazar,norte de santander,1952,672,65812597.0,207,20811923.0,0,0.0,879,86624520.0
135,54,54720,norte de santandersardinata,132,132,sardinata,norte de santander,1952,507,66051795.0,40,9642500.0,0,0.0,547,75694295.0
136,54,54820,norte de santandertoledo,133,133,toledo,norte de santander,1952,463,38171003.0,97,18037700.0,0,0.0,560,56208703.0
137,86,86001,putumayomocoa,178,178,mocoa,putumayo,1952,81,4555000.0,91,14159000.0,0,0.0,172,18714000.0
138,88,88001,san andres y providenciasan andres,176,176,san andres,san andres y providencia,1952,78,2926200.0,4,390000.0,0,0.0,82,3316200.0
139,68,68001,santanderbucaramanga,134,134,bucaramanga,santander,1952,1338,155479480.0,343,150755039.0,0,0.0,1681,306234519.0
140,68,68167,santandercharala,135,135,charala,santander,1952,735,68814600.0,171,39014974.0,0,0.0,906,107829574.0
141,68,68432,santandermalaga,136,136,malaga,santander,1952,1374,88310033.0,29,8493300.0,0,0.0,1403,96803333.0
142,68,68444,santandermatanza,145,145,matanza,santander,1952,426,23287457.0,44,8693621.0,0,0.0,470,31981078.0
143,68,68572,santanderpuente nacional,137,137,puente nacional,santander,1952,444,27191196.0,463,58121345.0,0,0.0,907,85312541.0
144,68,68615,santanderrionegro,138,138,rionegro,santander,1952,293,37956106.0,71,13649800.0,0,0.0,364,51605906.0
145,68,68669,santandersan andres,139,139,san andres,santander,1952,540,34827500.0,115,23505000.0,0,0.0,655,58332500.0
146,68,68679,santandersan gil,140,140,san gil,santander,1952,837,91286797.0,128,43492576.0,0,0.0,965,134779373.0
147,68,68689,santandersan vicente,141,141,san vicente,santander,1952,355,44358128.0,175,61924409.0,0,0.0,530,106282537.0
148,68,68755,santandersocorro,142,142,socorro,santander,1952,1007,113017383.0,285,112488726.0,0,0.0,1292,225506109.0
149,68,68780,santandersurata,144,144,surata,santander,1952,139,8283000.0,24,3772000.0,0,0.0,163,12055000.0
150,68,68861,santandervelez,143,143,velez,santander,1952,640,46851906.0,170,33406090.0,0,0.0,810,80257996.0
151,73,73055,tolimaarmero,147,147,armero,tolima,1952,488,131871923.0,204,82341059.0,0,0.0,692,214212982.0
152,73,73168,tolimachaparral,148,148,chaparral,tolima,1952,269,28188513.0,76,30128246.0,0,0.0,345,58316759.0
153,73,73319,tolimael guamo,151,151,el guamo,tolima,1952,842,73216500.0,132,63433975.0,0,0.0,974,136650475.0
154,73,73268,tolimaespinal,149,149,espinal,tolima,1952,834,88504103.0,120,52400742.0,0,0.0,954,140904845.0
155,73,73283,tolimafresno,150,150,fresno,tolima,1952,630,50985377.0,93,31588660.0,0,0.0,723,82574037.0
156,73,73347,tolimaherveo,160,160,herveo,tolima,1952,164,14078000.0,22,4655500.0,0,0.0,186,18733500.0
157,73,73349,tolimahonda,152,152,honda,tolima,1952,556,70534946.0,140,56652921.0,0,0.0,696,127187867.0
158,73,73001,tolimaibague,146,146,ibague,tolima,1952,1797,329253386.0,864,332082387.0,0,0.0,2661,661335773.0
159,73,73352,tolimaicononzo,153,153,icononzo,tolima,1952,578,54668651.0,82,20205360.0,0,0.0,660,74874011.0
160,73,73411,tolimalibano,154,154,libano,tolima,1952,676,80997000.0,201,46433962.0,0,0.0,877,127430962.0
161,73,73504,tolimaortega,155,155,ortega,tolima,1952,501,56948000.0,131,29173496.0,0,0.0,632,86121496.0
162,73,73585,tolimapurificacion,156,156,purificacion,tolima,1952,883,141047587.0,472,128717334.0,0,0.0,1355,269764901.0
163,73,73675,tolimasan antonio,157,157,san antonio,tolima,1952,215,30366024.0,57,15812097.0,0,0.0,272,46178121.0
164,73,73678,tolimasan luis,158,158,san luis,tolima,1952,380,31424791.0,55,15497259.0,0,0.0,435,46927050.0
165,73,73686,tolimasanta isabel,161,161,santa isabel,tolima,1952,101,20405000.0,44,9634079.0,0,0.0,145,30039079.0
166,73,73870,tolimavillahermosa,159,159,villahermosa,tolima,1952,349,25345100.0,88,13856742.0,0,0.0,437,39201842.0
167,76,76113,valle del caucabuga,163,163,buga,valle del cauca,1952,735,62158239.0,347,109078099.0,0,0.0,1082,171236338.0
168,76,76122,valle del caucacaicedonia,164,164,caicedonia,valle del cauca,1952,350,85245900.0,164,49447700.0,0,0.0,514,134693800.0
169,76,76001,valle del caucacali,162,162,cali,valle del cauca,1952,1184,124142597.0,591,225293531.0,0,0.0,1775,349436128.0
170,76,76147,valle del caucacartago,165,165,cartago,valle del cauca,1952,800,170026088.0,187,105188035.0,0,0.0,987,275214123.0
171,76,76248,valle del caucacerrito,173,173,cerrito,valle del cauca,1952,125,11580100.0,58,22248100.0,0,0.0,183,33828200.0
172,76,76243,valle del caucael aguila,171,171,el aguila,valle del cauca,1952,172,31644000.0,20,6922000.0,0,0.0,192,38566000.0
173,76,76246,valle del caucael cairo,172,172,el cairo,valle del cauca,1952,213,39669000.0,34,8908000.0,0,0.0,247,48577000.0
174,76,76520,valle del caucapalmira,166,166,palmira,valle del cauca,1952,622,78519200.0,260,117981693.0,0,0.0,882,196500893.0
175,76,76622,valle del caucaroldanillo,167,167,roldanillo,valle del cauca,1952,842,103219876.0,368,120402172.0,0,0.0,1210,223622048.0
176,76,76736,valle del caucasevilla,168,168,sevilla,valle del cauca,1952,396,73500200.0,321,104801000.0,0,0.0,717,178304200.0
177,76,76828,valle del caucatrujillo,170,170,trujillo,valle del cauca,1952,391,54029041.0,117,35131757.0,0,0.0,508,89160798.0
178,76,76834,valle del caucatulua,169,169,tulua,valle del cauca,1952,1116,146505320.0,319,117155599.0,0,0.0,1435,263660919.0
