,index,Unnamed: 0,Cod Dep,cod_mpio,Oficina,Poblacion,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
163,163,163,73,73675,san antonio,10602.2,tolima,1952,215,2864.12,57,1491.4,0,0.0,272,4355.52
164,164,164,73,73678,san luis,6775.38,tolima,1952,380,4638.09,55,2287.29,0,0.0,435,6926.11
165,165,165,73,73686,santa isabel,6907.02,tolima,1952,101,2954.24,44,1394.82,0,0.0,145,4349.07
166,166,166,73,73870,villahermosa,10491.11,tolima,1952,349,2415.86,88,1320.81,0,0.0,437,3736.67
167,167,167,76,76113,buga,14461.76,valle del cauca,1952,735,4298.11,347,7542.52,0,0.0,1082,11840.63
168,168,168,76,76122,caicedonia,3353.53,valle del cauca,1952,350,25419.75,164,14744.97,0,0.0,514,40164.78
169,169,169,76,76001,cali,244919.97,valle del cauca,1952,1184,506.87,591,919.87,0,0.0,1775,1426.74
170,170,170,76,76147,cartago,74827.05,valle del cauca,1952,800,2272.25,187,1405.75,0,0.0,987,3678.0
171,171,171,76,76248,cerrito,13292.78,valle del cauca,1952,125,871.16,58,1673.7,0,0.0,183,2544.86
172,172,172,76,76243,el aguila,6986.12,valle del cauca,1952,172,4529.55,20,990.82,0,0.0,192,5520.37
173,173,173,76,76246,el cairo,7792.7,valle del cauca,1952,213,5090.53,34,1143.12,0,0.0,247,6233.65
174,174,174,76,76520,palmira,79147.12,valle del cauca,1952,622,992.07,260,1490.66,0,0.0,882,2482.73
175,175,175,76,76622,roldanillo,14954.74,valle del cauca,1952,842,6902.15,368,8051.1,0,0.0,1210,14953.26
176,176,176,76,76736,sevilla,32833.32,valle del cauca,1952,396,2238.59,321,3191.91,0,0.0,717,5430.59
177,177,177,76,76828,trujillo,24772.22,valle del cauca,1952,391,2181.03,117,1418.19,0,0.0,508,3599.23
178,178,178,76,76834,tulua,47586.41,valle del cauca,1952,1116,3078.72,319,2461.95,0,0.0,1435,5540.68
